id,truth,units,category,source,as_of,notes
GBR__NY.GDP.PCAP.CD,47057.043229179,usd,economics,World Bank,2022,"GDP per capita (current US$) — United Kingdom, 2022"
IND__NY.GDP.PCAP.CD,2347.44829434623,usd,economics,World Bank,2022,"GDP per capita (current US$) — India, 2022"
ISL__NY.GDP.PCAP.CD,76350.4550416502,usd,economics,World Bank,2022,"GDP per capita (current US$) — Iceland, 2022"
JPN__NY.GDP.PCAP.CD,34065.6438962526,usd,economics,World Bank,2022,"GDP per capita (current US$) — Japan, 2022"
KEN__NY.GDP.PCAP.CD,2109.56288513137,usd,economics,World Bank,2022,"GDP per capita (current US$) — Kenya, 2022"
KOR__NY.GDP.PCAP.CD,34822.4048404971,usd,economics,World Bank,2022,"GDP per capita (current US$) — Korea, Rep., 2022"
NGA__NY.GDP.PCAP.CD,2899.16047470324,usd,economics,World Bank,2022,"GDP per capita (current US$) — Nigeria, 2022"
NLD__NY.GDP.PCAP.CD,59123.318556487,usd,economics,World Bank,2022,"GDP per capita (current US$) — Netherlands, 2022"
NOR__NY.GDP.PCAP.CD,109269.520580298,usd,economics,World Bank,2022,"GDP per capita (current US$) — Norway, 2022"
POL__NY.GDP.PCAP.CD,18891.2121169279,usd,economics,World Bank,2022,"GDP per capita (current US$) — Poland, 2022"
SWE__NY.GDP.PCAP.CD,54836.8907235124,usd,economics,World Bank,2022,"GDP per capita (current US$) — Sweden, 2022"
USA__NY.GDP.PCAP.CD,76657.2488844403,usd,economics,World Bank,2022,"GDP per capita (current US$) — United States, 2022"
BRA__SP.DYN.LE00.IN,74.872,years,health,World Bank,2022,"Life expectancy at birth — Brazil, 2022"
CAN__SP.DYN.LE00.IN,81.0948780487805,years,health,World Bank,2022,"Life expectancy at birth — Canada, 2022"
CHN__SP.DYN.LE00.IN,78.202,years,health,World Bank,2022,"Life expectancy at birth — China, 2022"
DEU__SP.DYN.LE00.IN,80.6080487804878,years,health,World Bank,2022,"Life expectancy at birth — Germany, 2022"
DNK__SP.DYN.LE00.IN,81.3048780487805,years,health,World Bank,2022,"Life expectancy at birth — Denmark, 2022"
EST__SP.DYN.LE00.IN,77.8439024390244,years,health,World Bank,2022,"Life expectancy at birth — Estonia, 2022"
FIN__SP.DYN.LE00.IN,81.1878048780488,years,health,World Bank,2022,"Life expectancy at birth — Finland, 2022"
FRA__SP.DYN.LE00.IN,82.1292682926829,years,health,World Bank,2022,"Life expectancy at birth — France, 2022"
GBR__SP.DYN.LE00.IN,81.0112195121951,years,health,World Bank,2022,"Life expectancy at birth — United Kingdom, 2022"
IND__SP.DYN.LE00.IN,71.698,years,health,World Bank,2022,"Life expectancy at birth — India, 2022"
ISL__SP.DYN.LE00.IN,82.119512195122,years,health,World Bank,2022,"Life expectancy at birth — Iceland, 2022"
JPN__SP.DYN.LE00.IN,83.9963414634146,years,health,World Bank,2022,"Life expectancy at birth — Japan, 2022"
KEN__SP.DYN.LE00.IN,63.549,years,health,World Bank,2022,"Life expectancy at birth — Kenya, 2022"
KOR__SP.DYN.LE00.IN,82.6804878048781,years,health,World Bank,2022,"Life expectancy at birth — Korea, Rep., 2022"
NGA__SP.DYN.LE00.IN,54.079,years,health,World Bank,2022,"Life expectancy at birth — Nigeria, 2022"
NLD__SP.DYN.LE00.IN,81.6146341463415,years,health,World Bank,2022,"Life expectancy at birth — Netherlands, 2022"
NOR__SP.DYN.LE00.IN,82.509756097561,years,health,World Bank,2022,"Life expectancy at birth — Norway, 2022"
POL__SP.DYN.LE00.IN,77.1560975609756,years,health,World Bank,2022,"Life expectancy at birth — Poland, 2022"
SWE__SP.DYN.LE00.IN,83.0585365853659,years,health,World Bank,2022,"Life expectancy at birth — Sweden, 2022"
USA__SP.DYN.LE00.IN,77.4341463414634,years,health,World Bank,2022,"Life expectancy at birth — United States, 2022"
BRA__AG.SRF.TOTL.K2,8510420,sq_km,geography,World Bank,2022,"Surface area — Brazil, 2022"
CAN__AG.SRF.TOTL.K2,15634410,sq_km,geography,World Bank,2022,"Surface area — Canada, 2022"
CHN__AG.SRF.TOTL.K2,9562910,sq_km,geography,World Bank,2022,"Surface area — China, 2022"
DEU__AG.SRF.TOTL.K2,357600,sq_km,geography,World Bank,2022,"Surface area — Germany, 2022"
DNK__AG.SRF.TOTL.K2,42920,sq_km,geography,World Bank,2022,"Surface area — Denmark, 2022"
EST__AG.SRF.TOTL.K2,45340,sq_km,geography,World Bank,2022,"Surface area — Estonia, 2022"
FIN__AG.SRF.TOTL.K2,338470,sq_km,geography,World Bank,2022,"Surface area — Finland, 2022"
FRA__AG.SRF.TOTL.K2,606410,sq_km,geography,World Bank,2022,"Surface area — France, 2022"
GBR__AG.SRF.TOTL.K2,243610,sq_km,geography,World Bank,2022,"Surface area — United Kingdom, 2022"
IND__AG.SRF.TOTL.K2,3287260,sq_km,geography,World Bank,2022,"Surface area — India, 2022"
ISL__AG.SRF.TOTL.K2,103000,sq_km,geography,World Bank,2022,"Surface area — Iceland, 2022"
JPN__AG.SRF.TOTL.K2,377969.27,sq_km,geography,World Bank,2022,"Surface area — Japan, 2022"
KEN__AG.SRF.TOTL.K2,591969,sq_km,geography,World Bank,2022,"Surface area — Kenya, 2022"
KOR__AG.SRF.TOTL.K2,100440,sq_km,geography,World Bank,2022,"Surface area — Korea, Rep., 2022"
NGA__AG.SRF.TOTL.K2,923770,sq_km,geography,World Bank,2022,"Surface area — Nigeria, 2022"
NLD__AG.SRF.TOTL.K2,41540,sq_km,geography,World Bank,2022,"Surface area — Netherlands, 2022"
NOR__AG.SRF.TOTL.K2,624500,sq_km,geography,World Bank,2022,"Surface area — Norway, 2022"
POL__AG.SRF.TOTL.K2,312720,sq_km,geography,World Bank,2022,"Surface area — Poland, 2022"
SWE__AG.SRF.TOTL.K2,528860,sq_km,geography,World Bank,2022,"Surface area — Sweden, 2022"
USA__AG.SRF.TOTL.K2,9831510,sq_km,geography,World Bank,2022,"Surface area — United States, 2022"
BRA__SP.DYN.IMRT.IN,12.6,per_1000_live_births,health,World Bank,2022,"Infant mortality rate — Brazil, 2022"
CAN__SP.DYN.IMRT.IN,4.6,per_1000_live_births,health,World Bank,2022,"Infant mortality rate — Canada, 2022"
CHN__SP.DYN.IMRT.IN,4.8,per_1000_live_births,health,World Bank,2022,"Infant mortality rate — China, 2022"
DEU__SP.DYN.IMRT.IN,3.1,per_1000_live_births,health,World Bank,2022,"Infant mortality rate — Germany, 2022"
DNK__SP.DYN.IMRT.IN,3.3,per_1000_live_births,health,World Bank,2022,"Infant mortality rate — Denmark, 2022"
EST__SP.DYN.IMRT.IN,1.7,per_1000_live_births,health,World Bank,2022,"Infant mortality rate — Estonia, 2022"
FIN__SP.DYN.IMRT.IN,1.9,per_1000_live_births,health,World Bank,2022,"Infant mortality rate — Finland, 2022"
FRA__SP.DYN.IMRT.IN,3.4,per_1000_live_births,health,World Bank,2022,"Infant mortality rate — France, 2022"
GBR__SP.DYN.IMRT.IN,4,per_1000_live_births,health,World Bank,2022,"Infant mortality rate — United Kingdom, 2022"
IND__SP.DYN.IMRT.IN,25.7,per_1000_live_births,health,World Bank,2022,"Infant mortality rate — India, 2022"
ISL__SP.DYN.IMRT.IN,2.2,per_1000_live_births,health,World Bank,2022,"Infant mortality rate — Iceland, 2022"
JPN__SP.DYN.IMRT.IN,1.8,per_1000_live_births,health,World Bank,2022,"Infant mortality rate — Japan, 2022"
KEN__SP.DYN.IMRT.IN,35.5,per_1000_live_births,health,World Bank,2022,"Infant mortality rate — Kenya, 2022"
KOR__SP.DYN.IMRT.IN,2.4,per_1000_live_births,health,World Bank,2022,"Infant mortality rate — Korea, Rep., 2022"
NGA__SP.DYN.IMRT.IN,70.2,per_1000_live_births,health,World Bank,2022,"Infant mortality rate — Nigeria, 2022"
NLD__SP.DYN.IMRT.IN,3.4,per_1000_live_births,health,World Bank,2022,"Infant mortality rate — Netherlands, 2022"
NOR__SP.DYN.IMRT.IN,2,per_1000_live_births,health,World Bank,2022,"Infant mortality rate — Norway, 2022"
POL__SP.DYN.IMRT.IN,3.7,per_1000_live_births,health,World Bank,2022,"Infant mortality rate — Poland, 2022"
SWE__SP.DYN.IMRT.IN,2,per_1000_live_births,health,World Bank,2022,"Infant mortality rate — Sweden, 2022"
USA__SP.DYN.IMRT.IN,5.5,per_1000_live_births,health,World Bank,2022,"Infant mortality rate — United States, 2022"
BRA__SL.UEM.TOTL.ZS,9.231,percent_of_labour_force,economics,World Bank,2022,"Unemployment — Brazil, 2022"
CAN__SL.UEM.TOTL.ZS,5.279,percent_of_labour_force,economics,World Bank,2022,"Unemployment — Canada, 2022"
CHN__SL.UEM.TOTL.ZS,4.98,percent_of_labour_force,economics,World Bank,2022,"Unemployment — China, 2022"
DEU__SL.UEM.TOTL.ZS,3.137,percent_of_labour_force,economics,World Bank,2022,"Unemployment — Germany, 2022"
DNK__SL.UEM.TOTL.ZS,4.434,percent_of_labour_force,economics,World Bank,2022,"Unemployment — Denmark, 2022"
EST__SL.UEM.TOTL.ZS,5.571,percent_of_labour_force,economics,World Bank,2022,"Unemployment — Estonia, 2022"
FIN__SL.UEM.TOTL.ZS,6.719,percent_of_labour_force,economics,World Bank,2022,"Unemployment — Finland, 2022"
FRA__SL.UEM.TOTL.ZS,7.303,percent_of_labour_force,economics,World Bank,2022,"Unemployment — France, 2022"
GBR__SL.UEM.TOTL.ZS,3.768,percent_of_labour_force,economics,World Bank,2022,"Unemployment — United Kingdom, 2022"
IND__SL.UEM.TOTL.ZS,4.822,percent_of_labour_force,economics,World Bank,2022,"Unemployment — India, 2022"
ISL__SL.UEM.TOTL.ZS,3.789,percent_of_labour_force,economics,World Bank,2022,"Unemployment — Iceland, 2022"
JPN__SL.UEM.TOTL.ZS,2.614,percent_of_labour_force,economics,World Bank,2022,"Unemployment — Japan, 2022"
KEN__SL.UEM.TOTL.ZS,5.565,percent_of_labour_force,economics,World Bank,2022,"Unemployment — Kenya, 2022"
KOR__SL.UEM.TOTL.ZS,2.857,percent_of_labour_force,economics,World Bank,2022,"Unemployment — Korea, Rep., 2022"
NGA__SL.UEM.TOTL.ZS,3.827,percent_of_labour_force,economics,World Bank,2022,"Unemployment — Nigeria, 2022"
NLD__SL.UEM.TOTL.ZS,3.526,percent_of_labour_force,economics,World Bank,2022,"Unemployment — Netherlands, 2022"
NOR__SL.UEM.TOTL.ZS,3.231,percent_of_labour_force,economics,World Bank,2022,"Unemployment — Norway, 2022"
POL__SL.UEM.TOTL.ZS,2.811,percent_of_labour_force,economics,World Bank,2022,"Unemployment — Poland, 2022"
SWE__SL.UEM.TOTL.ZS,7.417,percent_of_labour_force,economics,World Bank,2022,"Unemployment — Sweden, 2022"
USA__SL.UEM.TOTL.ZS,3.65,percent_of_labour_force,economics,World Bank,2022,"Unemployment — United States, 2022"
BRA__IT.NET.USER.ZS,80.52775094,percent_of_population,connectivity,World Bank,2022,"Individuals using the internet — Brazil, 2022"
CAN__IT.NET.USER.ZS,94,percent_of_population,connectivity,World Bank,2022,"Individuals using the internet — Canada, 2022"
CHN__IT.NET.USER.ZS,75.61131603,percent_of_population,connectivity,World Bank,2022,"Individuals using the internet — China, 2022"
DEU__IT.NET.USER.ZS,91.62984383,percent_of_population,connectivity,World Bank,2022,"Individuals using the internet — Germany, 2022"
DNK__IT.NET.USER.ZS,97.86011812,percent_of_population,connectivity,World Bank,2022,"Individuals using the internet — Denmark, 2022"
EST__IT.NET.USER.ZS,91.52016546,percent_of_population,connectivity,World Bank,2022,"Individuals using the internet — Estonia, 2022"
FIN__IT.NET.USER.ZS,92.98879471,percent_of_population,connectivity,World Bank,2022,"Individuals using the internet — Finland, 2022"
FRA__IT.NET.USER.ZS,85.33331734,percent_of_population,connectivity,World Bank,2022,"Individuals using the internet — France, 2022"
GBR__IT.NET.USER.ZS,95.46530151,percent_of_population,connectivity,World Bank,2022,"Individuals using the internet — United Kingdom, 2022"
IND__IT.NET.USER.ZS,55.9,percent_of_population,connectivity,World Bank,2022,"Individuals using the internet — India, 2022"
ISL__IT.NET.USER.ZS,97.58339691,percent_of_population,connectivity,World Bank,2022,"Individuals using the internet — Iceland, 2022"
JPN__IT.NET.USER.ZS,84.92343147,percent_of_population,connectivity,World Bank,2022,"Individuals using the internet — Japan, 2022"
KEN__IT.NET.USER.ZS,29.40589905,percent_of_population,connectivity,World Bank,2022,"Individuals using the internet — Kenya, 2022"
KOR__IT.NET.USER.ZS,97.16855335,percent_of_population,connectivity,World Bank,2022,"Individuals using the internet — Korea, Rep., 2022"
NGA__IT.NET.USER.ZS,39.14720154,percent_of_population,connectivity,World Bank,2022,"Individuals using the internet — Nigeria, 2022"
NLD__IT.NET.USER.ZS,92.51968504,percent_of_population,connectivity,World Bank,2022,"Individuals using the internet — Netherlands, 2022"
NOR__IT.NET.USER.ZS,98.99997764,percent_of_population,connectivity,World Bank,2022,"Individuals using the internet — Norway, 2022"
POL__IT.NET.USER.ZS,86.94113479,percent_of_population,connectivity,World Bank,2022,"Individuals using the internet — Poland, 2022"
SWE__IT.NET.USER.ZS,95.00970335,percent_of_population,connectivity,World Bank,2022,"Individuals using the internet — Sweden, 2022"
USA__IT.NET.USER.ZS,92.72850037,percent_of_population,connectivity,World Bank,2022,"Individuals using the internet — United States, 2022"
BRA__SP.URB.TOTL.IN.ZS,87.349556243881,percent_of_total,demographics,World Bank,2022,"Urban population — Brazil, 2022"
CAN__SP.URB.TOTL.IN.ZS,82.3500897353968,percent_of_total,demographics,World Bank,2022,"Urban population — Canada, 2022"
CHN__SP.URB.TOTL.IN.ZS,65.2176361083984,percent_of_total,demographics,World Bank,2022,"Urban population — China, 2022"
DEU__SP.URB.TOTL.IN.ZS,81.7867852780995,percent_of_total,demographics,World Bank,2022,"Urban population — Germany, 2022"
DNK__SP.URB.TOTL.IN.ZS,88.3880239837703,percent_of_total,demographics,World Bank,2022,"Urban population — Denmark, 2022"
EST__SP.URB.TOTL.IN.ZS,70.4892333736738,percent_of_total,demographics,World Bank,2022,"Urban population — Estonia, 2022"
FIN__SP.URB.TOTL.IN.ZS,73.6967597835949,percent_of_total,demographics,World Bank,2022,"Urban population — Finland, 2022"
FRA__SP.URB.TOTL.IN.ZS,78.7591921123356,percent_of_total,demographics,World Bank,2022,"Urban population — France, 2022"
GBR__SP.URB.TOTL.IN.ZS,83.0753982997505,percent_of_total,demographics,World Bank,2022,"Urban population — United Kingdom, 2022"
IND__SP.URB.TOTL.IN.ZS,34.7555673994206,percent_of_total,demographics,World Bank,2022,"Urban population — India, 2022"
ISL__SP.URB.TOTL.IN.ZS,94.1787071228028,percent_of_total,demographics,World Bank,2022,"Urban population — Iceland, 2022"
JPN__SP.URB.TOTL.IN.ZS,91.9776532428406,percent_of_total,demographics,World Bank,2022,"Urban population — Japan, 2022"
KEN__SP.URB.TOTL.IN.ZS,31.4307820066946,percent_of_total,demographics,World Bank,2022,"Urban population — Kenya, 2022"
KOR__SP.URB.TOTL.IN.ZS,81.1624941626873,percent_of_total,demographics,World Bank,2022,"Urban population — Korea, Rep., 2022"
NGA__SP.URB.TOTL.IN.ZS,61.3727650622225,percent_of_total,demographics,World Bank,2022,"Urban population — Nigeria, 2022"
NLD__SP.URB.TOTL.IN.ZS,94.9856177734136,percent_of_total,demographics,World Bank,2022,"Urban population — Netherlands, 2022"
NOR__SP.URB.TOTL.IN.ZS,82.9563661816034,percent_of_total,demographics,World Bank,2022,"Urban population — Norway, 2022"
POL__SP.URB.TOTL.IN.ZS,59.8315488048321,percent_of_total,demographics,World Bank,2022,"Urban population — Poland, 2022"
SWE__SP.URB.TOTL.IN.ZS,88.4038576504809,percent_of_total,demographics,World Bank,2022,"Urban population — Sweden, 2022"
USA__SP.URB.TOTL.IN.ZS,80.0324978239707,percent_of_total,demographics,World Bank,2022,"Urban population — United States, 2022"
BRA__AG.LND.FRST.ZS,59.1275092305226,percent_of_land,geography,World Bank,2022,"Forest area — Brazil, 2022"
CAN__AG.LND.FRST.ZS,39.4659199995449,percent_of_land,geography,World Bank,2022,"Forest area — Canada, 2022"
CHN__AG.LND.FRST.ZS,23.8316995465589,percent_of_land,geography,World Bank,2022,"Forest area — China, 2022"
DEU__AG.LND.FRST.ZS,32.685482024273,percent_of_land,geography,World Bank,2022,"Forest area — Germany, 2022"
DNK__AG.LND.FRST.ZS,15.758,percent_of_land,geography,World Bank,2022,"Forest area — Denmark, 2022"
EST__AG.LND.FRST.ZS,57.0652937046572,percent_of_land,geography,World Bank,2022,"Forest area — Estonia, 2022"
FIN__AG.LND.FRST.ZS,73.7264996576714,percent_of_land,geography,World Bank,2022,"Forest area — Finland, 2022"
FRA__AG.LND.FRST.ZS,32.32173671027,percent_of_land,geography,World Bank,2022,"Forest area — France, 2022"
GBR__AG.LND.FRST.ZS,13.2554871243748,percent_of_land,geography,World Bank,2022,"Forest area — United Kingdom, 2022"
IND__AG.LND.FRST.ZS,24.4494970049005,percent_of_land,geography,World Bank,2022,"Forest area — India, 2022"
ISL__AG.LND.FRST.ZS,0.522265198849549,percent_of_land,geography,World Bank,2022,"Forest area — Iceland, 2022"
JPN__AG.LND.FRST.ZS,68.4087791495199,percent_of_land,geography,World Bank,2022,"Forest area — Japan, 2022"
KEN__AG.LND.FRST.ZS,6.21662477880402,percent_of_land,geography,World Bank,2022,"Forest area — Kenya, 2022"
KOR__AG.LND.FRST.ZS,64.2110655737705,percent_of_land,geography,World Bank,2022,"Forest area — Korea, Rep., 2022"
NGA__AG.LND.FRST.ZS,23.3871888621716,percent_of_land,geography,World Bank,2022,"Forest area — Nigeria, 2022"
NLD__AG.LND.FRST.ZS,11.0296673596674,percent_of_land,geography,World Bank,2022,"Forest area — Netherlands, 2022"
NOR__AG.LND.FRST.ZS,33.4795618634529,percent_of_land,geography,World Bank,2022,"Forest area — Norway, 2022"
POL__AG.LND.FRST.ZS,31.0594923061845,percent_of_land,geography,World Bank,2022,"Forest area — Poland, 2022"
SWE__AG.LND.FRST.ZS,68.6996660773915,percent_of_land,geography,World Bank,2022,"Forest area — Sweden, 2022"
USA__AG.LND.FRST.ZS,33.8669264120375,percent_of_land,geography,World Bank,2022,"Forest area — United States, 2022"
BRA__SH.XPD.CHEX.PC.CD,871.27526855,usd,health,World Bank,2022,"Current health expenditure per capita — Brazil, 2022"
CAN__SH.XPD.CHEX.PC.CD,6252.34033203,usd,health,World Bank,2022,"Current health expenditure per capita — Canada, 2022"
CHN__SH.XPD.CHEX.PC.CD,755.43597412,usd,health,World Bank,2022,"Current health expenditure per capita — China, 2022"
DEU__SH.XPD.CHEX.PC.CD,6226.14208984,usd,health,World Bank,2022,"Current health expenditure per capita — Germany, 2022"
DNK__SH.XPD.CHEX.PC.CD,6451.19433594,usd,health,World Bank,2022,"Current health expenditure per capita — Denmark, 2022"
EST__SH.XPD.CHEX.PC.CD,1998.74523926,usd,health,World Bank,2022,"Current health expenditure per capita — Estonia, 2022"
FIN__SH.XPD.CHEX.PC.CD,4902.0390625,usd,health,World Bank,2022,"Current health expenditure per capita — Finland, 2022"
FRA__SH.XPD.CHEX.PC.CD,4857.73388672,usd,health,World Bank,2022,"Current health expenditure per capita — France, 2022"
GBR__SH.XPD.CHEX.PC.CD,5111.81738281,usd,health,World Bank,2022,"Current health expenditure per capita — United Kingdom, 2022"
IND__SH.XPD.CHEX.PC.CD,81.50888824,usd,health,World Bank,2022,"Current health expenditure per capita — India, 2022"
ISL__SH.XPD.CHEX.PC.CD,6851.62939453,usd,health,World Bank,2022,"Current health expenditure per capita — Iceland, 2022"
JPN__SH.XPD.CHEX.PC.CD,4201.79248047,usd,health,World Bank,2022,"Current health expenditure per capita — Japan, 2022"
KEN__SH.XPD.CHEX.PC.CD,91.18416595,usd,health,World Bank,2022,"Current health expenditure per capita — Kenya, 2022"
KOR__SH.XPD.CHEX.PC.CD,3078.55151367,usd,health,World Bank,2022,"Current health expenditure per capita — Korea, Rep., 2022"
NGA__SH.XPD.CHEX.PC.CD,89.62958527,usd,health,World Bank,2022,"Current health expenditure per capita — Nigeria, 2022"
NLD__SH.XPD.CHEX.PC.CD,5967.90429688,usd,health,World Bank,2022,"Current health expenditure per capita — Netherlands, 2022"
NOR__SH.XPD.CHEX.PC.CD,8692.57617188,usd,health,World Bank,2022,"Current health expenditure per capita — Norway, 2022"
POL__SH.XPD.CHEX.PC.CD,1219.29125977,usd,health,World Bank,2022,"Current health expenditure per capita — Poland, 2022"
SWE__SH.XPD.CHEX.PC.CD,6022.39257813,usd,health,World Bank,2022,"Current health expenditure per capita — Sweden, 2022"
USA__SH.XPD.CHEX.PC.CD,12586.19628906,usd,health,World Bank,2022,"Current health expenditure per capita — United States, 2022"
BRA__EN.GHG.CO2.PC.CE.AR5,2.27889577215227,tonnes,environment,World Bank,2022,"CO2 emissions per capita — Brazil, 2022"
CAN__EN.GHG.CO2.PC.CE.AR5,14.7892997763968,tonnes,environment,World Bank,2022,"CO2 emissions per capita — Canada, 2022"
CHN__EN.GHG.CO2.PC.CE.AR5,8.86482511020235,tonnes,environment,World Bank,2022,"CO2 emissions per capita — China, 2022"
DEU__EN.GHG.CO2.PC.CE.AR5,7.91182860265874,tonnes,environment,World Bank,2022,"CO2 emissions per capita — Germany, 2022"
DNK__EN.GHG.CO2.PC.CE.AR5,4.8270407249692,tonnes,environment,World Bank,2022,"CO2 emissions per capita — Denmark, 2022"
EST__EN.GHG.CO2.PC.CE.AR5,11.1341597224282,tonnes,environment,World Bank,2022,"CO2 emissions per capita — Estonia, 2022"
FIN__EN.GHG.CO2.PC.CE.AR5,6.68162198489374,tonnes,environment,World Bank,2022,"CO2 emissions per capita — Finland, 2022"
FRA__EN.GHG.CO2.PC.CE.AR5,4.51246828877731,tonnes,environment,World Bank,2022,"CO2 emissions per capita — France, 2022"
GBR__EN.GHG.CO2.PC.CE.AR5,4.80733240636649,tonnes,environment,World Bank,2022,"CO2 emissions per capita — United Kingdom, 2022"
IND__EN.GHG.CO2.PC.CE.AR5,1.96929618962877,tonnes,environment,World Bank,2022,"CO2 emissions per capita — India, 2022"
ISL__EN.GHG.CO2.PC.CE.AR5,8.48003811488391,tonnes,environment,World Bank,2022,"CO2 emissions per capita — Iceland, 2022"
JPN__EN.GHG.CO2.PC.CE.AR5,8.3956307081074,tonnes,environment,World Bank,2022,"CO2 emissions per capita — Japan, 2022"
KEN__EN.GHG.CO2.PC.CE.AR5,0.405006512054817,tonnes,environment,World Bank,2022,"CO2 emissions per capita — Kenya, 2022"
