id,claude_sonnet,deepseek,gemini,mistral
FRA__SP.DYN.IMRT.IN,3.4,3.3,3.4,3.1
GBR__SP.DYN.IMRT.IN,3.6,3.6,3.6,3.8
IND__SP.DYN.IMRT.IN,25.5,28,26.6,27.7
ISL__SP.DYN.IMRT.IN,1.5,1.7,1.3,1.6
JPN__SP.DYN.IMRT.IN,1.7,1.7,1.8,1.9
KEN__SP.DYN.IMRT.IN,28.0,30,30.6,33.0
KOR__SP.DYN.IMRT.IN,2.5,2.5,2.4,2.9
NGA__SP.DYN.IMRT.IN,58.0,72,70.6,57.0
NLD__SP.DYN.IMRT.IN,3.2,3.4,3.3,3.5
NOR__SP.DYN.IMRT.IN,1.8,2.0,1.8,1.6
POL__SP.DYN.IMRT.IN,3.8,3.8,3.8,4.2
SWE__SP.DYN.IMRT.IN,1.9,2.2,2.1,2.4
USA__SP.DYN.IMRT.IN,5.4,5.4,5.3,5.4
BRA__SL.UEM.TOTL.ZS,9.3,9.3,9.3,9.3
CAN__SL.UEM.TOTL.ZS,5.3,5.3,5.3,5.0
CHN__SL.UEM.TOTL.ZS,4.8,4.5,4.9,4.8
DEU__SL.UEM.TOTL.ZS,3.1,3.1,3.1,3.0
DNK__SL.UEM.TOTL.ZS,4.5,4.5,4.5,4.8
EST__SL.UEM.TOTL.ZS,5.7,5.5,5.6,5.8
FIN__SL.UEM.TOTL.ZS,6.8,6.8,6.8,6.8
FRA__SL.UEM.TOTL.ZS,7.3,7.3,7.3,7.5
GBR__SL.UEM.TOTL.ZS,3.7,3.7,3.7,3.7
IND__SL.UEM.TOTL.ZS,7.3,7.3,7.3,6.4
ISL__SL.UEM.TOTL.ZS,3.8,3.8,3.8,3.6
JPN__SL.UEM.TOTL.ZS,2.6,2.6,2.6,2.6
KEN__SL.UEM.TOTL.ZS,5.7,5.7,4.9,5.6
KOR__SL.UEM.TOTL.ZS,2.9,2.9,2.9,2.9
NGA__SL.UEM.TOTL.ZS,4.1,5.8,5.8,4.1
NLD__SL.UEM.TOTL.ZS,3.5,3.5,3.5,3.5
NOR__SL.UEM.TOTL.ZS,3.2,3.2,3.2,3.8
POL__SL.UEM.TOTL.ZS,2.9,2.9,2.9,2.8
SWE__SL.UEM.TOTL.ZS,7.5,7.5,7.5,6.6
USA__SL.UEM.TOTL.ZS,3.6,3.6,3.6,3.6
BRA__IT.NET.USER.ZS,81,81,80.7,80
CAN__IT.NET.USER.ZS,93,94,94.2,93
CHN__IT.NET.USER.ZS,75,75,75.6,73
DEU__IT.NET.USER.ZS,91,91,93.4,90
DNK__IT.NET.USER.ZS,98,98,98.8,96
EST__IT.NET.USER.ZS,91,92,91.5,88
FIN__IT.NET.USER.ZS,94,93,93.1,93
FRA__IT.NET.USER.ZS,85,86,86.4,88
GBR__IT.NET.USER.ZS,96,97,96.6,92
IND__IT.NET.USER.ZS,46,48,48.7,47
ISL__IT.NET.USER.ZS,99,99,99.7,99
JPN__IT.NET.USER.ZS,83,82,84.0,93
KEN__IT.NET.USER.ZS,32,29,32.7,29
KOR__IT.NET.USER.ZS,97,97,97.6,96
NGA__IT.NET.USER.ZS,38,38,35.5,51
NLD__IT.NET.USER.ZS,95,96,95.9,95
NOR__IT.NET.USER.ZS,99,98,99.0,98
POL__IT.NET.USER.ZS,87,88,88.4,85
SWE__IT.NET.USER.ZS,96,97,94.8,94
USA__IT.NET.USER.ZS,91,93,91.8,92
BRA__SP.URB.TOTL.IN.ZS,87.7,87,87.8,87
CAN__SP.URB.TOTL.IN.ZS,81.9,81,81.8,81
CHN__SP.URB.TOTL.IN.ZS,64.7,64,63.6,64
DEU__SP.URB.TOTL.IN.ZS,77.5,77,77.6,77
DNK__SP.URB.TOTL.IN.ZS,88.2,88,88.4,88
EST__SP.URB.TOTL.IN.ZS,69.5,69,69.6,69
FIN__SP.URB.TOTL.IN.ZS,85.6,85,85.6,86
FRA__SP.URB.TOTL.IN.ZS,81.3,81,81.5,81
GBR__SP.URB.TOTL.IN.ZS,84.2,84,84.4,84
IND__SP.URB.TOTL.IN.ZS,36.0,36,35.9,35
ISL__SP.URB.TOTL.IN.ZS,93.8,94,94.0,94
JPN__SP.URB.TOTL.IN.ZS,91.9,92,91.9,92
KEN__SP.URB.TOTL.IN.ZS,28.6,29,28.5,28
KOR__SP.URB.TOTL.IN.ZS,81.4,81,81.4,81
NGA__SP.URB.TOTL.IN.ZS,53.5,53,53.5,52
NLD__SP.URB.TOTL.IN.ZS,92.8,92,92.9,91
NOR__SP.URB.TOTL.IN.ZS,83.0,83,83.6,83
POL__SP.URB.TOTL.IN.ZS,60.0,60,60.1,60
SWE__SP.URB.TOTL.IN.ZS,88.4,88,88.5,88
USA__SP.URB.TOTL.IN.ZS,83.1,83,83.1,83
BRA__AG.LND.FRST.ZS,59.4,59,59.2,59.4
CAN__AG.LND.FRST.ZS,38.7,38,38.7,38.2
CHN__AG.LND.FRST.ZS,23.3,23,23.4,23.0
DEU__AG.LND.FRST.ZS,31.8,32,32.7,33.4
DNK__AG.LND.FRST.ZS,15.7,15,15.8,14.5
EST__AG.LND.FRST.ZS,52.0,54,53.8,54.0
FIN__AG.LND.FRST.ZS,73.7,74,73.7,73.1
FRA__AG.LND.FRST.ZS,31.4,31,31.5,31.4
GBR__AG.LND.FRST.ZS,13.2,13,13.2,13.2
IND__AG.LND.FRST.ZS,24.3,24,24.3,24.1
ISL__AG.LND.FRST.ZS,0.5,0.5,0.5,2.0
JPN__AG.LND.FRST.ZS,68.4,68,68.4,68.4
KEN__AG.LND.FRST.ZS,6.1,6,6.3,6.1
KOR__AG.LND.FRST.ZS,63.0,64,64.0,63.9
NGA__AG.LND.FRST.ZS,23.6,8,7.2,10.0
NLD__AG.LND.FRST.ZS,11.2,11,11.2,11.1
NOR__AG.LND.FRST.ZS,33.5,33,33.3,37.8
POL__AG.LND.FRST.ZS,31.0,31,31.0,29.6
SWE__AG.LND.FRST.ZS,68.4,68,68.7,68.7
USA__AG.LND.FRST.ZS,33.9,33,33.9,33.9
BRA__SH.XPD.CHEX.PC.CD,720,700,850.5,1200
CAN__SH.XPD.CHEX.PC.CD,5800,6000,6300.2,5500
CHN__SH.XPD.CHEX.PC.CD,670,640,670.8,800
DEU__SH.XPD.CHEX.PC.CD,6900,6700,6500.4,6700
DNK__SH.XPD.CHEX.PC.CD,7200,8000,6600.1,7000
EST__SH.XPD.CHEX.PC.CD,2000,2600,2200.6,2500
FIN__SH.XPD.CHEX.PC.CD,5400,6000,5100.3,5200
FRA__SH.XPD.CHEX.PC.CD,5600,5500,5500.8,5500
GBR__SH.XPD.CHEX.PC.CD,5200,5400,5300.9,5300
IND__SH.XPD.CHEX.PC.CD,73,75,74.2,200
ISL__SH.XPD.CHEX.PC.CD,6500,6600,6500.0,7000
JPN__SH.XPD.CHEX.PC.CD,4200,4600,4300.5,4200
KEN__SH.XPD.CHEX.PC.CD,95,90,95.1,150
KOR__SH.XPD.CHEX.PC.CD,3400,3200,2900.3,4500
NGA__SH.XPD.CHEX.PC.CD,80,70,71.4,100
NLD__SH.XPD.CHEX.PC.CD,6700,6700,6100.7,7000
NOR__SH.XPD.CHEX.PC.CD,8500,10000,9100.2,8000
POL__SH.XPD.CHEX.PC.CD,1400,1700,1200.4,1800
SWE__SH.XPD.CHEX.PC.CD,6700,7000,6400.5,6500
USA__SH.XPD.CHEX.PC.CD,12900,12500,12555.3,12500
BRA__EN.GHG.CO2.PC.CE.AR5,2.2,2.2,2.2,2.2
CAN__EN.GHG.CO2.PC.CE.AR5,14.5,14.3,14.3,15.3
CHN__EN.GHG.CO2.PC.CE.AR5,8.0,8.0,8.0,7.4
DEU__EN.GHG.CO2.PC.CE.AR5,8.1,8.0,7.9,7.6
DNK__EN.GHG.CO2.PC.CE.AR5,5.3,5.0,4.8,5.7
EST__EN.GHG.CO2.PC.CE.AR5,9.5,8.5,8.1,12.0
FIN__EN.GHG.CO2.PC.CE.AR5,7.0,7.0,6.6,7.8
FRA__EN.GHG.CO2.PC.CE.AR5,4.5,4.5,4.3,4.3
GBR__EN.GHG.CO2.PC.CE.AR5,4.6,4.6,4.7,5.5
IND__EN.GHG.CO2.PC.CE.AR5,1.9,1.9,1.9,1.9
ISL__EN.GHG.CO2.PC.CE.AR5,5.8,11.0,9.3,5.0
JPN__EN.GHG.CO2.PC.CE.AR5,8.4,8.5,8.6,8.2
KEN__EN.GHG.CO2.PC.CE.AR5,0.4,0.3,0.4,0.3
KOR__EN.GHG.CO2.PC.CE.AR5,11.5,11.5,11.5,11.8
NGA__EN.GHG.CO2.PC.CE.AR5,0.6,0.6,0.6,0.5
NLD__EN.GHG.CO2.PC.CE.AR5,7.7,7.5,7.4,8.4
NOR__EN.GHG.CO2.PC.CE.AR5,6.8,7.5,7.1,8.3
POL__EN.GHG.CO2.PC.CE.AR5,7.8,8.0,8.2,7.6
SWE__EN.GHG.CO2.PC.CE.AR5,3.5,3.5,3.4,4.5
USA__EN.GHG.CO2.PC.CE.AR5,13.9,14.9,14.9,15.5
